Id.x,SpsCode,DBH,StreetName,StreetNumber,City
272,ARCU,2,CINNABAR DR,8145,La Mesa
175,ARCU,1,PURDUE AV,7144,La Mesa
163,ARCU,2,MAPLE AV,4790,La Mesa
280,ARCU,1,EASTRIDGE DR,7720,La Mesa
246,ARCU,1,AMAYA DR,5845,La Mesa
178,ARCU,2,LOMA VISTA DR,7671,La Mesa
277,ARCU,1,EASTRIDGE DR,7890,La Mesa
278,ARCU,1,EASTRIDGE DR,7890,La Mesa
153,ARCU,1,UNIVERSITY PL,8050,La Mesa
152,ARCU,1,LOMA VISTA DR,7767,La Mesa
276,ARCU,1,EASTRIDGE DR,7890,La Mesa
279,ARCU,1,EASTRIDGE DR,7890,La Mesa
274,ARCU,1,EASTRIDGE DR,4210,La Mesa
273,ARCU,2,VALLEY VIEW CIR,4198,La Mesa
173,ARCU,1,PURDUE AV,7152,La Mesa
365,BAVA,1,HARRY GRIFFEN PARK,2,La Mesa
366,BAVA,1,PINE ST,4975,La Mesa
360,BAVA,2,VEEMAC AV,6130,La Mesa
364,BAVA,1,HARRY GRIFFEN PARK,2,La Mesa
331,BAVA,1,LOMA VISTA DR,7690,La Mesa
363,BAVA,1,HARRY GRIFFEN PARK,2,La Mesa
352,BAVA,1,COWLES MTN BL,6125,La Mesa
341,BAVA,1,YORKSHIRE AV,5895,La Mesa
355,BAVA,2,AVENORRA DR,6145,La Mesa
348,BAVA,1,HAAS ST,6135,La Mesa
346,BAVA,1,HAAS ST,6180,La Mesa
343,BAVA,1,YORKSHIRE AV,5680,La Mesa
362,BAVA,1,VEEMAC AV,6160,La Mesa
367,BAVA,2,YALE AV,4000,La Mesa
350,BAVA,2,STADLER ST,8070,La Mesa
353,BAVA,2,COWLES MTN BL,6125,La Mesa
356,BAVA,2,AVENORRA DR,5985,La Mesa
345,BAVA,1,JACKSON DR,5530,La Mesa
358,BAVA,2,ALIDA ST,7990,La Mesa
354,BAVA,1,COWLES MTN BL,6095,La Mesa
359,BAVA,1,VEEMAC AV,6120,La Mesa
351,BAVA,1,LAKE MURRAY BL,5900,La Mesa
361,BAVA,2,VEEMAC AV,6160,La Mesa
339,BAVA,1,YORKSHIRE AV,5835,La Mesa
349,BAVA,1,HAAS ST,6135,La Mesa
344,BAVA,1,TEX ST,5786,La Mesa
333,BAVA,1,OLIVER LN,4743,La Mesa
342,BAVA,1,YORKSHIRE AV,5680,La Mesa
334,BAVA,1,FINLEY AV,8305,La Mesa
357,BAVA,2,COWLES MTN BL,6130,La Mesa
337,BAVA,1,JEANETTE AV,5775,La Mesa
335,BAVA,1,FINLEY AV,8305,La Mesa
332,BAVA,1,MERRITT BL,4309,La Mesa
338,BAVA,2,YORKSHIRE AV,5835,La Mesa
340,BAVA,1,YORKSHIRE AV,5835,La Mesa
347,BAVA,1,HAAS ST,6180,La Mesa
336,BAVA,1,ACACIA AV,4528,La Mesa
368,BEPE,1,VIOLET ST,4050,La Mesa
371,BEPE,1,ORIEN AV,7485,La Mesa
369,BEPE,1,VIOLET ST,4050,La Mesa
372,BEPE,2,FALMOUTH DR,6381,La Mesa
370,BEPE,1,MARIAN ST,4175,La Mesa
373,BE,2,URBAN DR,5665,La Mesa
387,BRPO,2,EL PASO ST,7730,La Mesa
388,BRPO,2,BINNEY PL,8060,La Mesa
385,BRPO,2,KELTON AV,5720,La Mesa
379,BRPO,3,LA MESA BL,7930,La Mesa
378,BRPO,1,GORDON WY,4311,La Mesa
384,BRPO,1,CARLETTE ST,8075,La Mesa
383,BRPO,2,CARLETTE ST,8075,La Mesa
386,BRPO,1,KELTON AV,5720,La Mesa
380,BRPO,2,CLEARVIEW WY,4860,La Mesa
392,BRPO,1,SUNSHINE PARK,2,La Mesa
381,BRPO,3,EDENVALE AV,4603,La Mesa
389,BRPO,2,BINNEY PL,8060,La Mesa
382,BRPO,1,CARLETTE ST,8075,La Mesa
391,BRPO,2,HARRY GRIFFEN PARK,2,La Mesa
393,BRPO,1,ROLANDO PARK,2,La Mesa
390,BRPO,1,PRIMROSE DR,6240,La Mesa
396,BRAR,1,EASTRIDGE DR,7912,La Mesa
398,BRAR,1,EASTRIDGE DR,7912,La Mesa
395,BRAR,3,APORE ST,4022,La Mesa
394,BRAR,1,JESSIE AV,4772,La Mesa
397,BRAR,1,EASTRIDGE DR,7912,La Mesa
419,BRED,3,ACACIA AV,4566,La Mesa
418,BRED,1,DATE AV,4554,La Mesa
414,BRED,2,CITY HALL,2,La Mesa
424,BRED,2,BUCKLAND ST,8486,La Mesa
408,BRED,3,JESSIE AV,4655,La Mesa
411,BRED,2,MERRITT BL,4316,La Mesa
415,BRED,2,DATE AV,4519,La Mesa
416,BRED,2,DATE AV,4519,La Mesa
402,BRED,3,VIGO DR,6666,La Mesa
