Id.x,SpsCode,DBH,StreetName,City
42247,ALRH,1,,Irvine
1801,ALRH,2,Riparian Corridor,Irvine
37230,ALRH,1,Venta Spur Trail - Btwn Culver And Jeffrey,Irvine
1086,ALRH,1,Riparian Corridor,Irvine
53131,ALRH,1,Valencia Park,Irvine
8411,ALRH,1,Hicks Canyon Greenbelt,Irvine
22588,ALRH,1,,Irvine
31228,ALRH,2,Windrow Community Park,Irvine
52909,ALRH,1,Citrusglen Park,Irvine
31024,ALRH,3,Windrow Community Park,Irvine
42210,ALRH,1,,Irvine
35164,ALRH,1,Hicks Canyon Bike Trail,Irvine
58767,ALRH,3,Nature center,Irvine
22148,ALRH,1,,Irvine
1984,ALRH,2,Riparian Corridor,Irvine
35087,ALRH,1,Hicks Canyon Bike Trail,Irvine
905,ALRH,1,Riparian Corridor,Irvine
23394,ALRH,1,,Irvine
34638,ALRH,1,Hicks Canyon Bike Trail,Irvine
6317,ALRH,2,Bren Park,Irvine
5746,ALRH,2,Riparian Corridor,Irvine
3709,ALRH,1,Riparian Corridor,Irvine
23589,ALRH,1,,Irvine
53490,ALRH,1,Heritage Community Park,Irvine
466,ALRH,3,Riparian Corridor,Irvine
365,ALRH,1,Riparian Corridor,Irvine
48758,ALRH,2,Heritage Community Park,Irvine
54409,ALRH,1,Heritage Community Park,Irvine
24814,ALRH,1,,Irvine
38944,ALRH,1,Hicks Canyon Bike Trail,Irvine
17835,ALRH,4,Windrow Community Park,Irvine
11047,ALRH,1,Hicks Canyon Bike Trail,Irvine
5846,ALRH,2,Bren Park,Irvine
17988,ALRH,1,Heritage Community Park,Irvine
47892,ALRH,3,Bren Park,Irvine
35085,ALRH,1,Hicks Canyon Bike Trail,Irvine
38875,ALRH,1,Hicks Canyon Bike Trail,Irvine
6888,ALRH,1,Bren Park,Irvine
22842,ALRH,1,,Irvine
13638,ALRH,1,Hoeptner Park,Irvine
12215,ALRH,1,Hicks Canyon Bike Trail,Irvine
6580,ALRH,2,Bren Park,Irvine
34546,ALRH,1,Hicks Canyon Bike Trail,Irvine
3023,ALRH,2,Riparian Corridor,Irvine
34734,ALRH,1,Hicks Canyon Bike Trail,Irvine
43825,ALRH,3,Woodbridge Community Park,Irvine
35259,ALRH,1,Hicks Canyon Bike Trail,Irvine
5227,ALRH,2,Riparian Corridor,Irvine
36587,ALRH,1,Hicks Canyon Bike Trail,Irvine
23389,ALRH,1,,Irvine
12038,ALRH,1,Hicks Canyon Bike Trail,Irvine
30238,ALRH,3,Windrow Community Park,Irvine
80,ALRH,1,Riparian Corridor,Irvine
56994,ALRH,2,Turtle Rock Community Park,Irvine
3613,ALRH,1,Riparian Corridor,Irvine
3763,ALRH,3,Turtle Rock Community Park,Irvine
902,ALRH,1,Riparian Corridor,Irvine
35927,ALRH,1,Hicks Canyon Bike Trail,Irvine
5345,ALRH,1,Riparian Corridor,Irvine
44334,ALRH,3,Woodbridge Community Park,Irvine
41175,ALRH,1,,Irvine
57870,ALRH,1,Flagstone Park,Irvine
52637,ALRH,1,Citrusglen Park,Irvine
42223,ALRH,1,,Irvine
39962,ALRH,2,Hicks Canyon Bike Trail,Irvine
