Species,Author notes,Source URL,Kingdom,Subkingdom,Infrakingdom,Superdivision,Division,Subdivision,Phylum,Subphylum,Class,Subclass,Superorder,Order,Family,subfamily,Genus
Davidia involucrata ,,http://www.gbif.org/species/7322122,Plantae,,,,,,Tracheobionta,,,,,Cornales,Cornaceae,,Davidia
Diospyros kaki 'Fuyu' ,,https://selectree.calpoly.edu/tree-detail/diospyros-kaki-fuyu,,,,,,,,,,,,,Ebenaceae,,
Diospyros kaki 'Hachiya' ,,https://selectree.calpoly.edu/tree-detail/diospyros-kaki-hachiya,,,,,,,,,,,,,Ebenaceae,,
Elaeocarpus decipiens ,,http://www.gbif.org/species/101352358,Plantae,,,,,,,,,,,,Elaeocarpaceae,,Elaeocarpus
Eriobotrya deflexa ,,http://www.gbif.org/species/3024181,Plantae,,,,,,Tracheophyta,,,,,Rosales,Rocaceae,,Eriobotrya
Erythrina bidwillii ,,http://www.gbif.org/species/108518425,Plantae,,,,,,Magnoliophyta,,,,,Fabales,Fabaceae,,Erythrina
Erythrina coralloides ,,http://www.gbif.org/species/5349518,Plantae,,,,,,Tracheophyta,,,,,Fabales,Fabaceae,,Erythrina
Erythrina lysistemon ,,http://www.gbif.org/species/113603692,Plantae,,,,,,,,,,,Fabales,Fabaceae,,Erythrina
Eucalyptus baueriana ,,http://www.gbif.org/species/118457053,Plantae,,,,,,,,,,,,Myrtaceae,,Eucalyptus
Eucalyptus conferruminata ,,http://www.gbif.org/species/3177088,Plantae,,,,,,Tracheophyta,,,,,Myrtales,Myrtaceae,,Eucalyptus
Eucalyptus globulus compacta ,,https://selectree.calpoly.edu/tree-detail/eucalyptus-globulus-compacta,,,,,,,,,,,,,Myrtaceae,,
Eucalyptus globulus var compacta ,same as above,,,,,,,,,,,,,,,,
Eucalyptus leucoxylon ssp. megalocarpa ,,https://selectree.calpoly.edu/tree-detail/eucalyptus-leucoxylon-megalocarpa,,,,,,,,,,,,,Myrtaceae,,
Eucalyptus scoparia ,,http://www.catalogueoflife.org/col/details/species/id/4720e6994fcc92f737c42d3241dd5566,Plantae,,,,,,Tracheophyta,,,,,Myrtales,Myrtaceae,,Eucalyptus
Eugenia smithii ,"Eugenia smithii is an old name, new name is Syzygium smithii",http://www.gbif.org/species/3184410,Plantae,,,,,,Tracheophyta,,,,,Myrtales,Myrtaceae,,Syzygium
Evodia hupehensis ,Synonm for Tetradium daniellii,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=825211#null,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,,,,,Rosanae,Sapindales,Rutaceae,,Tetradium
Ficus binnendijkii 'alii' ,Cannot find taxonomy for this,,,,,,,,,,,,,,,,
Ficus microcarpa 'Green Gem' ,,https://selectree.calpoly.edu/tree-detail/ficus-microcarpa-green-gem,,,,,,,,,,,,,Moeaceae,,
Ficus microcarpa nitida var 'Green Gem' ,Cannot find taxonomy for this,,,,,,,,,,,,,,,,
Ficus microcarpa 'Nitida' ,,http://www.gbif.org/species/7649199,Plantae,,,,,,Tracheophyta,,,,,Rosales,Moraceae,,Ficus
Ficus microcarpa 'Retusa' ,"Cannot find taxonomy for this, my guess is that this is a mistake and it is supposed to be Ficus retusa",,,,,,,,,,,,,,,,
Ficus microcarpa var. nitida ,same as Ficus microcarpa,http://www.gbif.org/species/7649199,Plantae,,,,,,Tracheophyta,,,,,Rosales,Moraceae,,Ficus
Ficus microcarpa 'Variegata' ,Cannot find taxonomy for this,,,,,,,,,,,,,,,,
Ficus microcarpa nitida ,same as Ficus microcarpa,,,,,,,,,,,,,,,,
Ficus microcarpa 'Nitida' ,same as Ficus microcarpa,,,,,,,,,,,,,,,,
Ficus mysorensis ,,http://ntbg.org/plants/plant_details.php?plantid=5267,,,,,,,,,,,,,Moraceae,,
Ficus petiolaris ,,http://www.gbif.org/species/7262350,Plantae,,,,,,Tracheophyta,,,,,Rosales,Moraceae,,Ficus
Ficus retusa ssp. nitida ,,http://www.gbif.org/species/8250112,Plantae,,,,,,Tracheophyta,,,,,Rosales,Moraceae,,Ficus
Ficus watkinsiana ,,http://www.gbif.org/species/5571438,Plantae,,,,,,Tracheophyta,,,,,Rosales,Moraceae,,Ficus
Fraxinus angustifolia 'Raywood' ,,https://selectree.calpoly.edu/tree-detail/fraxinus-angustifolia-raywood,,,,,,,,,,,,,Oleaceae,,Fraxinus
